scenario_label,observed_action,motivation,alt_idx,action_text,is_share
birthday,action_0,high,4,Lio and Mitchell ask for a smaller slice to share,1
birthday,action_0,high,5,"Lio eats half a slice, then gives the other half to Mitchell",1
birthday,action_0,high,6,"Mitchell eats half a slice, then gives the other half to Lio",1
birthday,action_0,high,7,Lio and Mitchell cut their slices in half and exchange halves,1
birthday,action_0,high,8,They leave the extra cake for someone else to eat,0
birthday,action_0,high,9,Lio and Mitchell ask the birthday person to cut smaller slices for everyone,1
birthday,action_1,low,0,Lio eats the whole slice by himself,0
birthday,action_1,low,1,Mitchell eats the whole slice by himself,0
birthday,action_1,low,2,They leave the slice uneaten on the table,0
birthday,action_1,low,3,"Lio and Mitchell take turns eating the slice, using the same fork",1
birthday,action_1,low,4,"Lio and Mitchell eat the slice together, feeding each other",1
birthday,action_1,low,5,"Lio gives the whole slice to Mitchell, who eats it alone",0
birthday,action_1,low,6,"Mitchell gives the slice to Lio, who eats it alone",0
birthday,action_1,low,7,They ask someone else to join them and split the slice into thirds,1
birthday,action_1,low,8,Lio and Mitchell decide to skip the cake and get a different dessert,0
birthday,action_1,high,0,Lio eats a whole slice by himself,0
birthday,action_1,high,1,Lio and Mitchell take turns eating from the same slice without cutting it,1
birthday,action_1,high,2,Mitchell eats a whole slice by himself,0
birthday,action_1,high,3,Lio and Mitchell ask for a smaller slice or a cake sample from the host,0
birthday,action_1,high,4,They leave the slice on the table and don't eat it,0
birthday,action_1,high,5,Lio and Mitchell switch plates and forks halfway through eating their own slices,1
birthday,action_1,high,6,Lio cuts the slice into smaller pieces and they eat from the same plate,1
birthday,action_1,high,7,Lio eats from Mitchell's slice and Mitchell eats from Lio's slice,1
birthday,action_1,high,8,"One person finishes their own slice, then eats the other's unfinished slice",0
birthday,action_1,high,9,Lio and Mitchell decide not to eat cake and leave the party,0
birthday,action_2,low,0,Lio eats a whole slice by himself,0
birthday,action_2,low,1,Mitchell eats a whole slice by himself,0
birthday,action_2,low,2,They each get their own slice and eat separately,0
birthday,action_2,low,3,"Lio and Mitchell ask for a smaller slice to share, served on two separate plates",1
birthday,action_2,low,4,"Lio gives his slice to Mitchell, who eats the whole thing",0
birthday,action_2,low,5,"Mitchell gives his slice to Lio, who eats the whole thing",0
birthday,action_2,low,6,They decide not to eat the cake at all,0
birthday,action_2,low,7,"Lio and Mitchell take turns eating from the same slice, but not at the same time",1
birthday,action_2,low,8,"They cut the slice into smaller pieces and take individual pieces, not eating from the same plate",1
birthday,action_2,high,0,Lio eats a whole slice by himself,0
birthday,action_2,high,1,Mitchell eats a whole slice by himself,0
birthday,action_2,high,2,Lio and Mitchell each get their own slice and eat separately,0
birthday,action_2,high,3,They decide not to eat the cake at all,0
birthday,action_2,high,4,Lio eats half of one slice and Mitchell eats half of another slice,0
birthday,action_2,high,5,Lio and Mitchell take turns eating from the same fork,1
birthday,action_2,high,6,They cut one slice into smaller pieces and take individual pieces,1
birthday,action_2,high,7,Lio and Mitchell ask for a smaller slice to share,1
birthday,action_2,high,8,They use a separate plate to divide one slice into two portions,1
birthday,action_2,high,9,Lio feeds Mitchell and himself alternately from one slice,1
birthday,action_3,low,0,Lio eats a whole slice by himself,0
birthday,action_3,low,1,Mitchell eats a whole slice by himself,0
birthday,action_3,low,2,They ask for an extra fork and eat from the same plate but with separate utensils,1
birthday,action_3,low,3,Lio and Mitchell each get their own slice and eat separately,0
birthday,action_3,low,4,They leave the cake uneaten and don't touch it,0
birthday,action_3,low,5,Lio lets Mitchell eat the whole slice since he likes it more,0
birthday,action_3,low,6,Mitchell lets Lio eat the whole slice,0
birthday,action_3,low,7,They cut the slice in half and eat their halves from separate plates,1
birthday,action_3,low,8,They ask the birthday person if they can get a smaller slice or a different serving size,0
birthday,action_3,high,0,Lio eats a whole slice by himself,0
birthday,action_3,high,1,Mitchell eats a whole slice by himself,0
birthday,action_3,high,2,"They ask for an extra plate and fork, and cut the slice in half to eat separately",1
birthday,action_3,high,3,"Lio and Mitchell take turns eating from the plate, but use their own separate forks",1
birthday,action_3,high,4,They decide not to eat the cake at all,0
birthday,action_3,high,5,Lio eats the slice and Mitchell doesn't have any,0
birthday,action_3,high,6,Mitchell eats the slice and Lio doesn't have any,0
birthday,action_3,high,7,They cut the slice into smaller portions and offer some to other party guests,1
birthday,action_3,high,8,Lio and Mitchell ask the birthday person if they can have a smaller slice or a 'sliver' of cake,0
brunch,action_0,low,0,Allison orders the pancakes and eats them alone,0
brunch,action_0,low,1,Dana orders the pancakes and eats them alone,0
brunch,action_0,low,2,They decide not to order the pancakes at all,0
brunch,action_0,low,3,"They order the pancakes and Allison eats from the stack first, then Dana",1
brunch,action_0,low,4,"They order two separate stacks of pancakes, one for each of them",0
brunch,action_0,low,5,"They ask the waiter to split the stack of pancakes in half, so each gets their own portion",1
brunch,action_0,low,6,"Dana eats the pancakes and Allison doesn't have any, but they sit together while Dana eats",0
brunch,action_0,low,7,"Allison and Dana take turns eating from the stack of pancakes, but use separate utensils",1
brunch,action_0,high,0,Allison orders the pancakes and eats them alone,0
brunch,action_0,high,1,Dana orders the pancakes and eats them alone,0
brunch,action_0,high,2,They decide not to order the pancakes and leave the restaurant,0
brunch,action_0,high,3,They order the pancakes and Allison eats the entire stack,0
brunch,action_0,high,4,They order two separate stacks of pancakes and eat them independently,0
brunch,action_0,high,5,"They order the pancakes and take turns eating from the stack, but do not touch or hand the pancakes to each other",1
brunch,action_0,high,6,"Allison orders the pancakes and they take it back to their table, but only discuss it and do not eat",1
brunch,action_0,high,7,They ask the waiter to split the pancake order in half and bring it out on two separate plates,1
brunch,action_0,high,8,"They decide to order the pancakes, but then change their mind and ask the waiter to cancel the order",0
brunch,action_1,low,0,Allison eats the pancakes by herself after ordering them,0
brunch,action_1,low,1,Dana eats the pancakes by herself after ordering them,0
brunch,action_1,low,2,They decide not to order the pancakes,0
brunch,action_1,low,3,They order the pancakes and eat directly from the shared plate without utensils,1
brunch,action_1,low,4,Allison orders a separate dessert for herself and Dana orders a separate dessert for herself,0
brunch,action_1,low,5,Only Dana orders the pancakes and Allison does not have any,0
brunch,action_1,low,6,"Only Allison orders a dessert, but something other than the pancakes",0
brunch,action_1,low,7,Dana orders the pancakes and Allison has a small taste from Dana's portion,1
brunch,action_1,low,8,They ask the server to divide the pancakes into two portions before bringing them out,1
brunch,action_1,high,0,Allison orders the pancakes and eats them alone,0
brunch,action_1,high,1,Dana orders the pancakes and eats them alone,0
brunch,action_1,high,2,They decide not to order the pancakes,0
brunch,action_1,high,3,They order the pancakes and eat directly from the shared plate,1
brunch,action_1,high,4,"Allison cuts the pancakes and serves Dana, then herself",1
brunch,action_1,high,5,"Dana cuts the pancakes and serves Allison, then herself",1
brunch,action_1,high,6,They ask the server to divide the pancakes onto their plates,1
brunch,action_1,high,7,"One person eats a few bites, then passes the plate to the other",1
brunch,action_1,high,8,They take turns eating forkfuls of pancakes from the shared plate,1
brunch,action_2,low,0,Allison orders the pancakes and eats them alone,0
brunch,action_2,low,1,Dana orders the pancakes and eats them alone,0
brunch,action_2,low,2,They decide not to order the pancakes,0
brunch,action_2,low,3,"Allison and Dana take turns eating the pancakes, one person at a time, using the same utensils",1
brunch,action_2,low,4,"They order the pancakes, but have the server divide them into two separate portions before bringing them out",1
brunch,action_2,low,5,Allison and Dana feed each other slices of the pancakes,1
brunch,action_2,low,6,"They order a few extra desserts, and each person picks one to eat, including possibly the pancakes",0
brunch,action_2,low,7,"Allison and Dana consider ordering the pancakes, but then decide to look at the dessert menu together to find something else to share",1
brunch,action_2,high,0,Allison orders the pancakes and eats them alone,0
brunch,action_2,high,1,Dana orders the pancakes and eats them alone,0
brunch,action_2,high,2,They decide not to order the pancakes,0
brunch,action_2,high,3,They order two separate stacks of pancakes,0
brunch,action_2,high,4,Allison orders the pancakes and Dana only watches,0
brunch,action_2,high,5,They eat the pancakes directly from the shared stack without using plates,1
brunch,action_2,high,6,They feed each other slices of pancake,1
brunch,action_2,high,7,One person cuts the entire stack into slices and serves the other,1
brunch,action_3,low,0,Allison orders the pancakes and eats them alone,0
brunch,action_3,low,1,Dana orders the pancakes and eats them alone,0
brunch,action_3,low,2,They decide not to order the pancakes at all,0
brunch,action_3,low,3,They order the pancakes and ask for separate plates,1
brunch,action_3,low,4,They order two separate stacks of pancakes,0
brunch,action_3,low,5,"Allison eats her fill from the stack, then Dana eats the remainder",1
brunch,action_3,low,6,They use a serving utensil to portion out the pancakes onto their own plates,1
brunch,action_3,low,7,Dana orders the pancakes and Allison doesn't have any,0
brunch,action_3,high,0,Allison orders the pancakes and eats them alone,0
brunch,action_3,high,1,Dana orders the pancakes and eats them alone,0
brunch,action_3,high,2,They decide not to order the pancakes,0
brunch,action_3,high,3,They order two separate stacks of pancakes,0
brunch,action_3,high,4,They order the pancakes and divide them onto separate plates before eating,1
brunch,action_3,high,5,One person feeds the other pancakes from the shared plate,1
brunch,action_3,high,6,"They take turns eating a pancake from the shared plate, but use a shared utensil",1
brunch,action_3,high,7,"Allison orders the pancakes and Dana just watches, not eating any",0
brunch,action_3,high,8,"Dana orders the pancakes and Allison just watches, not eating any",0
brunch,action_3,high,9,"They ask the server to cut the pancakes into smaller pieces and serve them family-style, but on separate plates",1
takeout,action_0,low,0,Emily and Elizabeth take turns dipping their chicken tenders in the honey mustard sauce,1
takeout,action_0,low,1,Emily uses the honey mustard sauce and Elizabeth uses none of the condiments,0
takeout,action_0,low,2,Elizabeth uses the honey mustard sauce and Emily uses none of the condiments,0
takeout,action_0,low,3,They ask the hotel staff if they have any additional honey mustard sauce or other condiments,0
takeout,action_0,low,4,Emily and Elizabeth mix the honey mustard sauce with the ketchup packets to create a shared dipping sauce,1
takeout,action_0,low,5,They decide to order additional condiments from another delivery place,0
takeout,action_0,low,6,"Elizabeth gives the honey mustard sauce to Emily, and Elizabeth goes to a nearby convenience store to buy more condiments for herself",0
takeout,action_0,low,7,"They put the honey mustard sauce in the middle of the table and both use it, but with separate utensils or sticks to avoid direct contact",1
takeout,action_0,high,0,They both use the ketchup packets,0
takeout,action_0,high,1,They take turns dipping into the honey mustard sauce,1
takeout,action_0,high,2,Emily gives the honey mustard sauce to Elizabeth,0
takeout,action_0,high,3,Elizabeth gives the honey mustard sauce to Emily,0
takeout,action_0,high,4,They pour the honey mustard sauce into two separate containers,1
takeout,action_0,high,5,They decide to forego using any dipping sauce,0
takeout,action_0,high,6,They contact the restaurant to request an additional honey mustard sauce,0
takeout,action_0,high,7,They mix the honey mustard sauce with ketchup to make a shared sauce,1
takeout,action_1,low,0,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_1,low,1,They call the restaurant to ask for an additional container of honey mustard sauce,1
takeout,action_1,low,2,"Elizabeth gives the honey mustard sauce to Emily, and Elizabeth uses the ketchup packets",0
takeout,action_1,low,3,They take turns dipping their chicken tenders in the honey mustard sauce,1
takeout,action_1,low,4,They decide to go out and look for an open store to buy more honey mustard sauce,1
takeout,action_1,low,5,Emily and Elizabeth both use the ketchup packets and leave the honey mustard sauce unused,1
takeout,action_1,low,6,They flip a coin to see who gets to use the honey mustard sauce,0
takeout,action_1,low,7,They abandon the chicken tenders and watch TV instead,0
takeout,action_1,high,0,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_1,high,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_1,high,2,They decide to order another container of honey mustard sauce from the restaurant,1
takeout,action_1,high,3,They take turns dipping their chicken tenders in the single container of honey mustard sauce,1
takeout,action_1,high,4,"One person eats their chicken tenders without any sauce, and the other uses the honey mustard sauce",0
takeout,action_1,high,5,They put the honey mustard sauce in the middle of the table and both dip their chicken tenders in it at the same time,1
takeout,action_1,high,6,They flip a coin to see who gets to use the honey mustard sauce,0
takeout,action_1,high,7,They abandon the chicken tenders and go to bed without eating,0
takeout,action_1,high,8,They ask the hotel if they have any honey mustard sauce they can provide,1
takeout,action_2,low,0,Emily uses the honey mustard sauce and Elizabeth uses the ketchup packets,0
takeout,action_2,low,1,They ask the hotel to provide more honey mustard sauce or call the restaurant for more,1
takeout,action_2,low,2,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0
takeout,action_2,low,3,They decide to go out and look for an open store to buy more sauce,1
takeout,action_2,low,4,One person eats without sauce and the other uses the honey mustard,0
takeout,action_2,low,5,They use the ketchup packets together as a substitute for the honey mustard sauce,1
takeout,action_2,low,6,They flip a coin to see who gets to use the honey mustard sauce,0
takeout,action_2,low,7,They divide the honey mustard sauce into two separate portions before using,1
takeout,action_2,low,8,Neither of them uses the honey mustard sauce and they both use ketchup packets instead,1
takeout,action_2,high,0,Emily uses the honey mustard sauce and Elizabeth uses ketchup packets,0
takeout,action_2,high,1,"They take turns using the honey mustard sauce, one at a time",1
takeout,action_2,high,2,Elizabeth uses the honey mustard sauce and Emily uses ketchup packets,0
takeout,action_2,high,3,They decide to order another container of honey mustard sauce from the restaurant,1
takeout,action_2,high,4,They put the honey mustard sauce in the middle of the table and use separate utensils to scoop out sauce,1
takeout,action_2,high,5,"Neither of them uses the honey mustard sauce, opting for ketchup packets instead",0
takeout,action_2,high,6,One person gets to use the honey mustard sauce and the other has to go to a convenience store to buy more sauce,0
takeout,action_2,high,7,They mix the honey mustard sauce with ketchup packets to make a new sauce for both to use,1
takeout,action_3,low,0,Emily uses the honey mustard sauce and Elizabeth uses ketchup,0
takeout,action_3,low,1,Emily and Elizabeth take separate chicken tenders and share the honey mustard sauce by dipping their tenders into it one after the other,1
takeout,action_3,low,2,They decide to use the ketchup packets only and leave the honey mustard sauce unused,1
takeout,action_3,low,3,"Elizabeth gives the honey mustard sauce to Emily, and Elizabeth uses the ketchup packets",0
takeout,action_3,low,4,Emily and Elizabeth call the restaurant to ask for an additional honey mustard sauce,1
takeout,action_3,low,5,"They cut the chicken tenders into smaller pieces and divide them, with each using the honey mustard sauce on their own portion",1
takeout,action_3,low,6,"Neither of them uses the honey mustard sauce, and they both use ketchup instead",1
takeout,action_3,low,7,Elizabeth uses the honey mustard sauce and Emily does not use any sauce,0
takeout,action_3,low,8,Emily and Elizabeth decide to eat their chicken tenders without any sauce,1
takeout,action_3,high,0,Emily uses the honey mustard sauce and Elizabeth uses ketchup,0
takeout,action_3,high,1,They cut the chicken tenders in half and share the honey mustard sauce by dipping their respective halves,1
takeout,action_3,high,2,Elizabeth uses the honey mustard sauce and Emily uses ketchup,0
takeout,action_3,high,3,They decide to order another container of honey mustard sauce from the restaurant,0
takeout,action_3,high,4,They flip a coin to see who gets to use the honey mustard sauce,0
takeout,action_3,high,5,They both use ketchup instead of fighting over the honey mustard sauce,1
takeout,action_3,high,6,One person eats their chicken tenders without any sauce,0
takeout,action_3,high,7,They ask the hotel if they have any honey mustard sauce they can provide,0
cooking,action_0,low,0,"Liana and Serina decide to share the pasta, with Serina having a small portion to taste",1
cooking,action_0,low,1,Liana eats the pasta alone in the kitchen while Serina eats her salad in the living room,0
cooking,action_0,low,2,"They put the pasta in the fridge for Liana to eat the next day, and both eat the salad together",1
cooking,action_0,low,3,"Serina gives Liana the recipe and ingredients, and Liana cooks and eats it another time without Serina",0
cooking,action_0,low,4,Liana and Serina both abandon the pasta and order takeout to eat together,1
cooking,action_0,low,5,They invite friends over and share the pasta among the group,1
cooking,action_0,low,6,"Liana eats the pasta in the living room, but they sit on opposite sides of the room and don't interact while eating",0
cooking,action_0,low,7,"Serina changes her mind and they both eat the pasta together, without the salad",1
cooking,action_0,low,8,"Liana packs up the pasta and takes it home to eat, and they watch the TV show together at Serina's house without eating",0
cooking,action_0,high,0,Liana and Serina take turns eating the pasta while watching TV,1
cooking,action_0,high,1,"They decide to eat the pasta together, but in separate rooms",1
cooking,action_0,high,2,"Liana eats the pasta alone in the kitchen, while Serina watches TV in the living room",0
cooking,action_0,high,3,"Serina eats the pasta, and Liana has a different meal",0
cooking,action_0,high,4,They put the pasta in the middle of the coffee table and eat from the same dish,1
cooking,action_0,high,5,Liana and Serina divide the pasta into two portions and eat together while watching TV,1
cooking,action_0,high,6,"Neither of them eats the pasta, and they order takeout instead",0
cooking,action_0,high,7,They save the pasta for the next day and eat something else for dinner,0
cooking,action_0,high,8,Liana and Serina feed each other the pasta while watching TV,1
cooking,action_1,low,0,Liana serves herself and then serves Serina using the shared utensil,1
cooking,action_1,low,1,Serina declines to eat and Liana eats the entire dish by herself,0
cooking,action_1,low,2,They use separate serving utensils to transfer pasta onto their individual plates,1
cooking,action_1,low,3,Liana and Serina decide not to eat the pasta and watch TV without dinner,0
cooking,action_1,low,4,Serina serves the pasta onto both plates and they eat together in the living room,1
cooking,action_1,low,5,Liana eats directly from the pot with her own fork,0
cooking,action_1,low,6,They order takeout instead of eating the pasta,0
cooking,action_1,low,7,Liana and Serina feed each other from a single shared plate,1
cooking,action_1,low,8,Serina packs the pasta for herself to eat later and Liana eats her portion,0
cooking,action_1,high,0,"Liana serves herself and then Serina serves herself with the same utensil, but they wipe it clean with a paper towel in between",1
cooking,action_1,high,1,"One person serves the other, who then eats from their own plate",1
cooking,action_1,high,2,They use separate serving utensils to transfer pasta onto their individual plates,1
cooking,action_1,high,3,"One person cooks and serves the pasta, the other only eats",0
cooking,action_1,high,4,"They eat directly from the pot, taking turns",1
cooking,action_1,high,5,"Liana and Serina decide to eat in the kitchen, standing at the counter and serving themselves directly from the pot",1
cooking,action_1,high,6,One person eats in the living room while the other eats in the kitchen,0
cooking,action_1,high,7,"They order takeout instead of cooking, so there's no shared pot or utensils",0
cooking,action_1,high,8,Liana and Serina decide to skip dinner and just watch TV together,0
cooking,action_1,high,9,"One person serves the entire dish onto a large platter, and they both eat from the platter with their own forks",1
cooking,action_2,low,0,Liana serves herself and then Serina from the pot using a serving spoon,1
cooking,action_2,low,1,"Serina decides to cook something else for herself, leaving Liana to eat the pasta alone",0
cooking,action_2,low,2,They use a serving utensil to divide the pasta into two portions on one large platter to share,1
cooking,action_2,low,3,"Liana eats directly from the pot, while Serina does not eat any pasta",0
cooking,action_2,low,4,"They order takeout instead of eating the pasta, and both wait for the delivery in the living room",1
cooking,action_2,low,5,"Liana eats in the kitchen, and Serina joins her, but only to keep her company, not to eat the pasta",0
cooking,action_2,low,6,They use separate serving spoons to portion out the pasta onto their plates,1
cooking,action_2,low,7,"Serina changes her mind and they decide to save the pasta for the next day, so neither of them eats it",0
cooking,action_2,low,8,Liana and Serina feed each other pasta from their plates,1
cooking,action_2,high,0,"Liana serves the pasta for both of them, carrying the plates to the living room",0
cooking,action_2,high,1,They use a serving spoon to portion out the pasta onto their plates,1
cooking,action_2,high,2,"One person stays in the living room, and the other brings them their plate of pasta",0
cooking,action_2,high,3,"They decide to eat in the kitchen, standing at the counter and serving themselves directly from the pot",1
cooking,action_2,high,4,"Liana and Serina use one fork to serve pasta onto both of their plates, taking turns",1
cooking,action_2,high,5,"They don't eat together, Liana takes her plate to her house, and they watch the TV show separately",0
cooking,action_2,high,6,"Serina serves the pasta, and then Liana serves herself seconds later from the same pot using a clean serving utensil",1
cooking,action_2,high,7,They order takeout instead of cooking and wait for it to arrive,0
cooking,action_2,high,8,"Liana and Serina eat the pasta straight from the pot, not using any plates",1
cooking,action_3,low,0,Liana eats the pasta alone in the living room while Serina watches TV,0
cooking,action_3,low,1,"Serina wraps her portion and saves it for later, Liana eats hers",0
cooking,action_3,low,2,They divide the pasta into two separate plates and eat in the living room,1
cooking,action_3,low,3,Neither of them eats the pasta and they order takeout instead,0
cooking,action_3,low,4,Liana eats in the kitchen while Serina stays in the living room,0
cooking,action_3,low,5,They decide to refrigerate the pasta and eat it the next day together,1
cooking,action_3,low,6,"Serina gives her portion to Liana, who eats the whole thing",0
cooking,action_3,low,7,They invite more friends over to share the pasta,1
cooking,action_3,low,8,Liana takes the pasta home with her to eat later,0
cooking,action_3,low,9,They both throw the pasta away and go out to dinner,0
cooking,action_3,high,0,Liana and Serina each serving themselves a portion into separate plates,1
cooking,action_3,high,1,One person eating the entire pasta alone,0
cooking,action_3,high,2,Leaving the pasta in the kitchen and having one person serve the other,1
cooking,action_3,high,3,Using a divider or separate sections in a large serving dish to keep their portions separate,1
cooking,action_3,high,4,Deciding to wait and eat at the same time but in separate rooms,0
cooking,action_3,high,5,Not eating the pasta at all and saving it for later,0
cooking,action_3,high,6,Serina eating while Liana watches TV without eating,0
cooking,action_3,high,7,Liana and Serina eating from separate pots of pasta,0
cooking,action_3,high,8,"They make the pasta into individual servings, then eat together in the living room but from their own servings",1
apples,action_0,low,0,Haoyu picks a different apple variety and they both taste their own separate apples,0
apples,action_0,low,1,Camille and Haoyu both pick apples from the same tree and take turns biting into the same apple,1
apples,action_0,low,2,"Haoyu asks Camille to describe the taste of the Jonagold apple, but neither of them eat it",0
apples,action_0,low,3,"Camille offers Haoyu a bite of her apple, but Haoyu declines",0
apples,action_0,low,4,Haoyu suggests they both go to a different aisle to taste another variety together,1
apples,action_0,low,5,"Camille puts the apple back on the tree, deciding not to taste it, and they both move on to another variety",0
apples,action_0,low,6,Haoyu picks an apple and they cut it in half to share,1
apples,action_0,low,7,"Camille and Haoyu decide to taste different parts of the same apple, such as the skin and the flesh",1
apples,action_0,low,8,They leave the apples alone and go to the orchard's store to buy pre-picked apples instead,0
apples,action_0,high,0,Camille and Haoyu pick separate Jonagold apples to taste individually,0
apples,action_0,high,1,"Haoyu picks an apple and eats it alone, without Camille",0
apples,action_0,high,2,"Camille hands the apple to Haoyu after taking a bite, and Haoyu takes a bite",1
apples,action_0,high,3,"Camille and Haoyu together pick one apple, then cut it in half to share",1
apples,action_0,high,4,"Haoyu asks Camille to describe the taste, but neither eats another apple",0
apples,action_0,high,5,"Camille offers the apple to Haoyu first, and Haoyu takes a bite before returning it to Camille",1
